https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume EUR,tradecount
1726099200000,2024-09-12,XRPEUR,0.4858,0.5333,0.4848,0.5084,3469460.0,1762755.8571,7409
1726012800000,2024-09-11,XRPEUR,0.4911,0.4911,0.476,0.4858,1221743.0,591026.4508,2599
1725926400000,2024-09-10,XRPEUR,0.4891,0.4928,0.4839,0.4912,871370.0,425645.6451,2313
1725840000000,2024-09-09,XRPEUR,0.4788,0.4924,0.4767,0.4891,1429835.0,689901.2918,2843
1725753600000,2024-09-08,XRPEUR,0.4749,0.4802,0.4712,0.4783,648698.0,308717.3629,1619
1725667200000,2024-09-07,XRPEUR,0.4723,0.4817,0.4707,0.4752,738487.0,352657.8132,1582
1725580800000,2024-09-06,XRPEUR,0.49,0.4925,0.454,0.4723,2645226.0,1255497.8945,4707
1725494400000,2024-09-05,XRPEUR,0.5041,0.5055,0.487,0.4899,1555342.0,768610.0372,2524
1725408000000,2024-09-04,XRPEUR,0.5045,0.5104,0.483,0.504,1752059.0,876599.5934,2618
1725321600000,2024-09-03,XRPEUR,0.5135,0.519,0.504,0.504,1234373.0,631137.4972,2447
1725235200000,2024-09-02,XRPEUR,0.4959,0.5138,0.4927,0.5133,1401362.0,704761.1057,2185
1725148800000,2024-09-01,XRPEUR,0.5126,0.5126,0.4931,0.4967,1406120.0,707665.4772,2005
1725062400000,2024-08-31,XRPEUR,0.5133,0.5179,0.509,0.5124,559581.0,286903.4133,1364
1724976000000,2024-08-30,XRPEUR,0.5072,0.5143,0.4943,0.5133,2077042.0,1050414.9935,2856
1724889600000,2024-08-29,XRPEUR,0.5124,0.5207,0.504,0.5079,1871026.0,962655.118,2965
1724803200000,2024-08-28,XRPEUR,0.5078,0.5264,0.5009,0.5121,2414236.0,1238671.4291,3237
1724716800000,2024-08-27,XRPEUR,0.5266,0.5379,0.4954,0.5082,3287134.0,1706997.3084,3876
1724630400000,2024-08-26,XRPEUR,0.535,0.5365,0.5178,0.5266,2196534.0,1160725.2483,2868
1724544000000,2024-08-25,XRPEUR,0.5471,0.548,0.5295,0.5353,1521749.0,816611.9027,2833
1724457600000,2024-08-24,XRPEUR,0.5458,0.563,0.5402,0.5472,1723259.0,950618.9512,2523
1724371200000,2024-08-23,XRPEUR,0.5382,0.5502,0.5294,0.5458,1797275.0,970262.9052,2730
1724284800000,2024-08-22,XRPEUR,0.5376,0.5428,0.5317,0.538,1349639.0,726768.376,2250
1724198400000,2024-08-21,XRPEUR,0.534,0.545,0.5273,0.5378,2006781.0,1078135.1659,3198
1724112000000,2024-08-20,XRPEUR,0.5402,0.5555,0.5299,0.5339,2674345.0,1451233.6338,5549
1724025600000,2024-08-19,XRPEUR,0.5116,0.5499,0.5093,0.5402,4323334.0,2294240.2388,9787
1723939200000,2024-08-18,XRPEUR,0.5149,0.5305,0.5113,0.5116,1395899.0,725968.0059,2690
1723852800000,2024-08-17,XRPEUR,0.5119,0.5187,0.5095,0.5148,533123.0,274101.1968,1418
1723766400000,2024-08-16,XRPEUR,0.5115,0.5204,0.5045,0.5121,1802854.0,924896.0477,3678
1723680000000,2024-08-15,XRPEUR,0.5168,0.5218,0.5022,0.5115,2184577.0,1122747.6502,4045
1723593600000,2024-08-14,XRPEUR,0.5255,0.5292,0.512,0.5172,1508380.0,788341.3087,2532
1723507200000,2024-08-13,XRPEUR,0.5192,0.5319,0.5157,0.525,1778989.0,934042.5517,3203
1723420800000,2024-08-12,XRPEUR,0.5067,0.5324,0.505,0.5208,1887150.0,983287.6879,3384
1723334400000,2024-08-11,XRPEUR,0.5373,0.5445,0.5007,0.5071,1934575.0,1010589.5533,3601
1723248000000,2024-08-10,XRPEUR,0.5318,0.5531,0.5305,0.5359,1624376.0,882959.1076,2841
